match_id,participantId,skillSlot,time_stamp
KR_5372514513,2,3,1257558
KR_5372514513,7,3,1263579
KR_5372514513,10,3,1263711
KR_5372514513,9,3,1264537
KR_5372514513,6,1,1265264
KR_5372514513,3,1,1309564
KR_5372514513,9,3,1327400
KR_5372514513,1,1,1341407
KR_5372514513,5,2,1357731
KR_5372514513,8,3,1375803
KR_5372514513,10,4,1394702
KR_5372514513,7,3,1406463
KR_5372514513,4,2,1411714
KR_5372514513,6,1,1423541
KR_5383687714,2,1,6876
KR_5383687714,9,1,28907
KR_5383687714,7,1,29039
KR_5383687714,4,1,32077
KR_5383687714,6,1,54637
KR_5383687714,5,1,60354
KR_5383687714,3,3,63459
KR_5383687714,10,1,91335
KR_5383687714,1,3,102103
KR_5383687714,8,1,103061
KR_5383687714,7,2,104118
KR_5383687714,2,2,110593
KR_5383687714,8,3,128264
KR_5383687714,7,3,134836
KR_5383687714,6,2,142862
KR_5383687714,5,3,143919
KR_5383687714,4,2,144546
KR_5383687714,9,2,146032
KR_5383687714,10,3,146362
KR_5383687714,3,1,146957
KR_5383687714,1,1,152802
KR_5383687714,2,3,155312
KR_5383687714,8,1,158053
KR_5383687714,6,3,168756
KR_5383687714,3,2,171300
KR_5383687714,1,2,193707
KR_5383687714,3,1,193839
KR_5383687714,7,1,223168
KR_5383687714,1,1,229345
KR_5383687714,8,2,229576
KR_5383687714,10,2,234795
KR_5383687714,5,2,237700
KR_5383687714,6,1,239385
KR_5383687714,4,3,242060
KR_5383687714,9,3,263593
KR_5383687714,2,1,267291
KR_5383687714,3,1,276406
KR_5383687714,6,1,284332
KR_5383687714,3,4,303430
KR_5383687714,4,1,304752
KR_5383687714,10,3,312780
KR_5383687714,7,1,318695
KR_5383687714,8,1,319521
KR_5383687714,1,1,321238
KR_5383687714,9,1,340600
KR_5383687714,6,4,347603
KR_5383687714,5,1,359393
KR_5383687714,2,1,361308
KR_5383687714,8,4,371645
KR_5383687714,1,4,392384
KR_5383687714,4,1,398627
KR_5383687714,9,1,402491
KR_5383687714,3,1,409229
KR_5383687714,10,3,409559
KR_5383687714,6,1,412069
KR_5383687714,8,1,462012
KR_5383687714,9,4,467495
KR_5383687714,7,4,470303
KR_5383687714,2,4,492232
KR_5383687714,3,3,494115
KR_5383687714,1,1,494346
KR_5383687714,6,3,503098
KR_5383687714,5,1,504287
KR_5383687714,10,4,520306
KR_5383687714,5,4,527670
KR_5383687714,4,4,533549
KR_5383687714,2,1,553572
KR_5383687714,7,1,577617
KR_5383687714,6,1,581252
KR_5383687714,8,3,583563
KR_5383687714,3,1,591357
KR_5383687714,1,3,620158
KR_5383687714,9,1,621644
KR_5383687714,4,1,644268
KR_5383687714,2,3,653152
KR_5383687714,8,1,662766
KR_5383687714,5,1,667621
KR_5383687714,10,2,667886
KR_5383687714,9,2,713167
KR_5383687714,3,3,735032
KR_5383687714,6,3,738037
KR_5383687714,7,3,738136
KR_5383687714,1,1,739094
KR_5383687714,4,3,760331
KR_5383687714,8,3,806341
KR_5383687714,9,1,811031
KR_5383687714,7,1,826192
KR_5383687714,2,1,840822
KR_5383687714,3,3,841846
KR_5383687714,10,2,859251
KR_5383687714,6,4,867772
KR_5383687714,5,2,869093
KR_5383687714,1,3,871406
KR_5383687714,4,1,880258
KR_5383687714,9,2,912401
KR_5383687714,7,3,945591
KR_5383687714,2,3,949520
KR_5383687714,4,3,961675
KR_5383687714,6,3,1007858
KR_5383687714,8,4,1009808
KR_5383687714,10,2,1009974
KR_5383687714,3,3,1014400
KR_5383687714,7,4,1035347
KR_5383687714,9,4,1040762
KR_5383687714,1,4,1042382
KR_5383687714,4,4,1057711
KR_5383687714,8,3,1059759
KR_5383687714,10,2,1083738
KR_5383687714,7,3,1100782
KR_5383687714,5,1,1108609
KR_5383687714,2,4,1130211
KR_5383687714,3,4,1170087
KR_5383687714,8,3,1188785
KR_5383687714,9,2,1190768
KR_5383687714,4,3,1198229
KR_5383687714,1,3,1207645
KR_5383687714,5,2,1208438
KR_5383687714,6,3,1223242
KR_5383687714,10,3,1230473
KR_5383687714,2,3,1265424
KR_5383687714,4,3,1266514
KR_5383687714,5,4,1267640
KR_5383687714,9,2,1276295
KR_5383687714,7,3,1285019
KR_5383687714,3,2,1290633
KR_5383687714,1,3,1291029
KR_5383687714,6,2,1346363
KR_5383687714,8,2,1350591
KR_5383687714,10,4,1355515
KR_5383687714,7,2,1365555
KR_5383687714,9,3,1397998
KR_5383687714,10,3,1402592
KR_5383687714,3,2,1426770
KR_5383687714,1,2,1427530
KR_5383687714,5,2,1434597
KR_5383687714,4,2,1440609
KR_5383687714,2,3,1460497
KR_5383687714,6,2,1512931
KR_5383687714,7,2,1515409
KR_5383687714,8,2,1549630
KR_5383687714,10,1,1559174
KR_5383687714,4,2,1566274
KR_5382270131,4,1,25110
KR_5382270131,6,1,30229
KR_5382270131,9,1,30559
KR_5382270131,5,1,37397
KR_5382270131,7,2,37992
KR_5382270131,3,2,67797
KR_5382270131,10,1,87627
KR_5382270131,2,1,89709
KR_5382270131,8,1,92187
KR_5382270131,2,2,104844
KR_5382270131,7,1,106066
KR_5382270131,3,1,122293
KR_5382270131,1,2,136695
KR_5382270131,5,3,139073
KR_5382270131,4,2,139634
KR_5382270131,6,3,142443
KR_5382270131,8,3,145217
KR_5382270131,2,3,149147
KR_5382270131,7,3,151294
KR_5382270131,1,1,155853
KR_5382270131,10,3,155985
KR_5382270131,9,1,156447
KR_5382270131,6,1,165962
KR_5382270131,8,2,166161
KR_5382270131,3,3,166987
KR_5382270131,1,3,188795
KR_5382270131,10,2,192164
KR_5382270131,9,1,201874
KR_5382270131,2,1,203295
KR_5382270131,8,1,204550
KR_5382270131,6,2,207424
KR_5382270131,1,1,210001
KR_5382270131,3,2,212512
KR_5382270131,4,3,234712
KR_5382270131,5,2,234811
KR_5382270131,4,1,237684
KR_5382270131,7,1,277320
KR_5382270131,3,2,285180
KR_5382270131,1,1,288978
KR_5382270131,10,3,291290
KR_5382270131,6,1,299514
KR_5382270131,2,1,315476
KR_5382270131,7,1,320198
KR_5382270131,9,2,324988
KR_5382270131,8,1,338859
KR_5382270131,1,4,352271
KR_5382270131,5,1,354154
KR_5382270131,4,1,360461
KR_5382270131,6,2,367132
KR_5382270131,3,4,371525
KR_5382270131,10,3,379946
KR_5382270131,9,1,384536
KR_5382270131,2,4,395600
KR_5382270131,8,4,412811
KR_5382270131,5,1,417538
KR_5382270131,7,4,435515
KR_5382270131,6,1,440540
KR_5382270131,4,4,444239
KR_5382270131,3,2,446684
KR_5382270131,1,1,471160
KR_5382270131,9,3,498514
KR_5382270131,10,4,504030
KR_5382270131,8,1,516879
KR_5382270131,2,1,530062
KR_5382270131,3,1,542818
KR_5382270131,5,4,553189
KR_5382270131,6,2,558838
KR_5382270131,7,1,565412
KR_5382270131,1,2,579220
KR_5382270131,4,1,592696
KR_5382270131,3,2,608055
KR_5382270131,10,3,615884
KR_5382270131,9,1,620342
KR_5382270131,4,1,624866
KR_5382270131,2,3,625857
KR_5382270131,5,1,637352
KR_5382270131,8,3,638178
KR_5382270131,10,2,680203
KR_5382270131,1,1,680269
KR_5382270131,9,3,681955
KR_5382270131,7,3,694572
KR_5382270131,3,1,709707
KR_5382270131,2,1,712713
KR_5382270131,4,3,719187
KR_5382270131,8,1,728074
KR_5382270131,6,1,742645
KR_5382270131,4,1,793959
KR_5382270131,1,2,804398
KR_5382270131,9,1,811567
KR_5382270131,10,3,813650
KR_5382270131,7,1,822966
KR_5382270131,6,2,826071
KR_5382270131,5,2,842422
KR_5382270131,3,4,844668
KR_5382270131,2,3,850481
KR_5382270131,4,3,884732
KR_5382270131,3,1,904858
KR_5382270131,7,3,927647
KR_5382270131,5,1,933627
KR_5382270131,8,3,935278
KR_5382270131,1,4,936401
KR_5382270131,6,1,954501
KR_5382270131,9,3,998433
KR_5382270131,10,2,1001837
KR_5382270131,8,4,1027975
KR_5382270131,1,2,1055652
KR_5382270131,4,4,1058096
KR_5382270131,2,4,1062983
KR_5382270131,3,1,1076821
KR_5382270131,7,4,1101260
KR_5382270131,5,2,1116226
KR_5382270131,4,3,1135159
KR_5382270131,2,3,1144185
KR_5382270131,9,3,1172790
KR_5363442675,4,1,10456
KR_5363442675,1,1,36829
KR_5363442675,5,1,37060
KR_5363442675,2,1,38447
KR_5363442675,6,1,65213
KR_5363442675,7,2,66370
KR_5363442675,8,3,72125
KR_5363442675,10,3,73976
KR_5363442675,9,3,92092
KR_5363442675,3,1,95032
KR_5363442675,2,2,112015
KR_5363442675,3,2,123981
KR_5363442675,1,3,133262
KR_5363442675,8,2,139704
KR_5363442675,7,1,143010
KR_5363442675,6,2,151635
KR_5363442675,8,1,159269
KR_5363442675,5,2,163403
KR_5363442675,10,1,167170
KR_5363442675,1,1,168163
KR_5363442675,3,2,168923
KR_5363442675,9,1,179236
KR_5363442675,6,3,183939
KR_5363442675,10,2,188762
KR_5363442675,2,3,192826
KR_5363442675,4,2,197355
KR_5363442675,9,1,198676
KR_5363442675,7,3,203997
KR_5363442675,6,1,214277
KR_5363442675,1,2,215598
KR_5363442675,8,2,226867
KR_5363442675,3,3,228584
KR_5363442675,2,1,231128
KR_5363442675,4,3,263679
KR_5363442675,6,1,272669
KR_5363442675,1,1,273263
KR_5363442675,5,3,276336
KR_5363442675,9,3,293618
KR_5363442675,8,2,305565
KR_5363442675,3,1,311582
KR_5363442675,10,2,327245
KR_5363442675,7,1,336896
KR_5363442675,1,4,342382
KR_5363442675,6,4,344925
KR_5363442675,2,1,345156
KR_5363442675,4,1,365214
KR_5363442675,8,4,385007
KR_5363442675,2,4,403974
KR_5363442675,5,1,406155
KR_5363442675,9,1,410056
KR_5363442675,4,1,410288
KR_5363442675,3,4,410817
KR_5363442675,6,1,423116
KR_5363442675,7,1,439838
KR_5363442675,8,2,440399
KR_5363442675,10,2,442414
KR_5363442675,1,1,494614
KR_5363442675,2,1,500400
KR_5363442675,5,1,502615
KR_5363442675,7,4,514873
KR_5363442675,4,4,516824
KR_5363442675,10,4,518046
KR_5363442675,6,2,519336
KR_5363442675,8,1,524489
KR_5363442675,9,4,534835
KR_5363442675,3,1,537246
KR_5363442675,6,1,569613
KR_5363442675,7,1,590592
KR_5363442675,5,4,597303
KR_5363442675,3,1,623312
KR_5363442675,4,1,626713
KR_5363442675,9,1,639801
