match_id,participantId,itemId,time_stamp
KR_5372684240,3,3802,414298
KR_5372684240,3,1001,414761
KR_5372684240,5,1004,414761
KR_5372684240,5,2031,416089
KR_5372684240,3,3364,418041
KR_5372684240,3,2055,418271
KR_5372684240,5,2055,421518
KR_5372684240,4,2055,423271
KR_5372684240,9,6670,431562
KR_5372684240,9,1053,434066
KR_5372684240,9,1036,434988
KR_5372684240,9,1036,435120
KR_5372684240,9,2031,436638
KR_5372684240,1,2055,452393
KR_5372684240,8,1001,475186
KR_5372684240,8,2055,477692
KR_5372684240,2,3067,509617
KR_5372684240,6,3047,527745
KR_5372684240,6,1053,529329
KR_5372684240,10,4642,550106
KR_5372684240,10,1082,551729
KR_5372684240,10,2055,553447
KR_5372684240,8,3802,553680
KR_5372684240,3,3020,556884
KR_5372684240,3,2055,561112
KR_5372684240,7,6632,576157
KR_5372684240,7,3047,579372
KR_5372684240,2,6630,617637
KR_5372684240,2,1001,618199
KR_5372684240,2,1029,618959
KR_5372684240,2,2055,619225
KR_5372684240,5,3067,634532
KR_5372684240,4,6653,634995
KR_5372684240,5,4642,635094
KR_5372684240,5,2055,635924
KR_5372684240,4,2055,636023
KR_5372684240,5,2055,636155
KR_5372684240,1,6692,653274
KR_5372684240,1,1036,653537
KR_5372684240,3,2055,656020
KR_5372684240,1,2055,656152
KR_5372684240,9,6670,670892
KR_5372684240,9,1018,672646
KR_5372684240,9,3364,673671
KR_5372684240,8,1028,676613
KR_5372684240,8,2055,679158
KR_5372684240,8,3067,728616
KR_5372684240,4,3020,739752
KR_5372684240,4,2055,740482
KR_5372684240,5,4005,741046
KR_5372684240,5,2055,741475
KR_5372684240,5,2055,741707
KR_5372684240,3,1026,754385
KR_5372684240,3,1052,755012
KR_5372684240,6,6692,772197
KR_5372684240,9,6673,779851
KR_5372684240,1,1036,781471
KR_5372684240,7,1053,783484
KR_5372684240,7,1043,783649
KR_5372684240,7,1037,784311
KR_5372684240,7,2055,789239
KR_5372684240,10,3067,815891
KR_5372684240,10,2055,817077
KR_5372684240,6,2055,828243
KR_5372684240,10,4005,844482
KR_5372684240,7,3153,858494
KR_5372684240,9,1036,862689
KR_5372684240,8,1026,886291
KR_5372684240,3,6655,898142
KR_5372684240,3,3108,899632
KR_5372684240,3,2055,902319
KR_5372684240,4,1058,904108
KR_5372684240,4,1082,904502
KR_5372684240,1,3133,905694
KR_5372684240,4,3363,906422
KR_5372684240,8,3363,908077
KR_5372684240,1,1036,908803
KR_5372684240,1,3364,912147
KR_5372684240,5,3067,932213
KR_5372684240,5,3024,933139
KR_5372684240,5,2055,934594
KR_5372684240,5,2055,934826
KR_5372684240,2,3053,953918
KR_5372684240,2,2055,955140
KR_5372684240,2,2055,955272
KR_5372684240,3,2055,959137
KR_5372684240,6,3133,987206
KR_5372684240,6,1036,987505
KR_5372684240,6,2055,989625
KR_5372684240,8,6656,1026523
KR_5372684240,8,3111,1029239
KR_5372684240,7,3086,1031925
KR_5372684240,9,1037,1034678
KR_5372684240,5,3050,1035239
KR_5372684240,9,1036,1035272
KR_5372684240,9,3134,1037092
KR_5372684240,5,2055,1037192
KR_5372684240,10,3916,1038285
KR_5372684240,10,2055,1038947
